Profile 2 FLIR AX5

,Li1,Li2,Li3,Li4,Li5,Li6,Li7,Li8,Li9
Emissivity,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
Distance,0,0,0,0,0,0,0,0,0
Reflected temperature,22,22,22,22,22,22,22,22,22
Start point X,178,193,214,226,250,262,193,223,261
Start point Y,254,253,254,254,255,252,254,253,253
End point X,178,190,209,221,240,248,192,220,250
End point Y,190,194,128,125,9,0,186,125,5

Index,Li1,Li2,Li3,Li4,Li5,Li6,Li7,Li8,Li9
1,290.86,295.54,299.39,303.45,297.07,291.77,293.87,296.69,294.92
2,283.11,290.81,292.87,298.3,290.71,290.09,295.45,293.35,293.78
3,263.75,277.82,287.19,296.97,287.43,288.35,296.16,286.85,290.81
4,244.41,257.68,287.19,297.54,280.72,281.89,293.11,281.31,281.5
5,243.03,251.28,285.88,292.82,275.16,268.43,283.6,276,266.57
6,239.63,246.46,278.76,281.31,266.98,258.14,268.13,267.68,259.47
7,236.03,242.82,274.42,271.18,262.53,254.02,258.96,265.11,260.34
8,232.24,239.41,269.59,268.43,259.78,249.87,254.28,263.75,257.32
9,228.58,235.22,266.98,266.02,256.14,245.25,248.41,259.68,254.44
10,225.55,232.19,264.25,261.72,249.24,240.22,243.46,256.14,250.39
11,221.89,228.53,259.98,257.17,245.46,235.82,236.84,255.06,246.31
12,218.35,224.89,256.76,252.57,242.5,231.59,233.33,252.68,242.87
13,215.64,221.1,253.09,247.04,243.83,233.76,228.75,249.24,240.43
14,212.39,217.62,249.09,247.73,237.75,230.34,224.28,246.62,238.13
15,209.4,214.22,245.94,245.25,237.75,228.09,220.38,243.62,234.41
16,206.85,211.41,242.5,242.03,235.98,225.17,217.05,240.86,231.37
17,203.99,207.72,239.15,238.4,231.97,222.89,213.59,238.4,228.91
18,201.04,204.98,236.68,234.63,230.01,219.37,210.67,233.87,225.72
19,198.85,202.34,233.87,231.65,227.54,216.09,208.01,231.97,223
20,196.46,199.38,230.12,228.64,224.83,213.42,204.63,228.69,219.53
21,193.93,196.93,227.43,225.94,221.49,210.72,202.22,225.94,216.83
22,191.32,194.29,224.67,223,219.48,208.82,198.79,223.84,214.22
23,188.93,191.68,222.44,219.76,216.09,206.32,197.17,222.11,210.72
24,186.9,189.24,220.15,218.01,213.76,203.52,194.11,218.69,208.36
25,184.67,187.27,216.26,214.67,212.04,200.98,191.44,216.26,205.86
26,182.42,185.29,212.85,211.87,208.53,199.2,189.24,213.99,203.93
27,180.41,183.3,205.62,209.34,206.09,195.55,187.58,210.95,201.63
28,178.64,181.17,199.02,206.44,203.69,193.02,184.55,208.53,198.9
29,176.47,178.96,194.95,204.04,201.51,191.01,182.3,206.21,197.11
30,174.36,177.3,196.28,201.87,199.08,187.83,180.6,204.57,194.65
31,172.42,175.32,199.44,199.38,196.75,185.73,178.07,201.93,192.9
32,170.14,173.84,200.69,196.87,195.37,182.24,176.41,200.33,189.79
33,168.63,171.77,198.73,194.65,192.47,180.03,173.52,198.13,188.75
34,167.25,170.27,196.28,192.47,190.77,176.79,171.84,195.61,186.35
35,166.13,168.83,193.93,189.73,188.44,181.8,169.75,193.5,184.55
36,165,166.33,192.29,187.46,186.22,179.46,170.08,191.62,182.67
37,162.86,164.6,190.22,185.35,184.55,178.2,168.24,189.61,180.73
38,161.52,163.53,188.63,183.67,182.55,175.71,166.26,187.15,178.77
39,160.3,162.12,186.1,181.92,180.79,173.26,164.73,185.91,176.79
40,158.94,160.91,184.8,183.55,179.46,170.92,162.93,183.86,175.06
41,158.26,159.55,182.61,181.61,177.24,169.95,161.92,181.86,174.29
42,156.89,159.14,180.73,179.15,175.19,168.11,160.57,180.16,171.51
43,155.58,157.51,179.08,177.75,174.1,166.66,159.42,178.07,170.66
44,153.85,156.27,177.37,175.71,172.55,164.13,157.51,176.67,168.57
45,153.02,155.1,174.94,173.39,170.86,162.52,156.48,174.87,167.32
46,152.25,153.58,173.91,172.22,168.83,160.3,154.89,173.33,165
47,151.62,151.62,171.77,170.08,167.32,158.94,154.13,171.64,164
48,150.43,149.65,170.08,167.52,165.73,158.12,152.67,169.62,162.32
49,149.16,149.44,168.5,166.39,164.47,156.68,151.69,168.11,161.18
50,148.52,149.8,167.25,164.73,162.93,155.17,150.71,166.46,159.76
51,147.81,148.81,165.4,162.99,161.25,153.51,149.37,164.93,158.4
52,146.81,147.88,163.66,161.99,159.08,152.32,148.88,163.2,156.41
53,146.03,147.1,161.18,159.82,158.19,150.64,148.31,161.85,155.45
54,145.74,146.53,158.26,158.74,156.48,148.1,146.96,160.37,153.92
55,144.88,145.81,155.38,157.85,154.89,147.17,146.46,159.28,152.88
56,144.3,144.74,153.58,156.07,153.99,145.17,145.45,157.37,152.04
57,143.65,144.81,153.85,154.34,152.67,146.67,143.87,156.41,150.29
58,142.93,144.38,153.37,152.53,152.18,144.74,142.35,154.96,149.3
59,141.76,143.58,152.6,151.27,150.64,143.36,142.13,153.51,147.74
60,139.86,143,151.06,149.8,149.37,142.49,141.25,152.32,146.96
61,137.5,141.11,149.8,148.03,147.46,141.69,141.84,151.06,145.17
62,131.86,136.31,147.6,146.39,146.53,140.37,140.81,149.37,143.94
63,120.12,127.94,145.88,145.02,145.45,138.76,138.83,148.45,143.22
64,107.5,117.37,144.45,143.87,144.38,136.68,134.73,147.1,142.06
65,100.33,110.14,140.59,142.35,143.15,134.51,128.71,146.1,140.67
66,,,140.23,143.94,142.13,132.54,121.25,145.17,139.12
67,,,138.83,142.86,140.52,131.25,116.31,143.51,138.09
68,,,137.2,141.76,139.49,130.25,112.08,142.35,136.9
69,,,135.63,140.89,138.31,128.64,109.89,141.47,136.53
70,,,135.03,139.79,136.98,127.71,,140.45,135.26
71,,,133.83,139.2,136.45,126.38,,139.05,133.98
72,,,132.92,137.42,135.71,124.34,,137.87,133.15
73,,,132.24,136.68,134.36,123.32,,136.9,132.54
74,,,131.17,136.23,133.68,122.6,,135.71,131.09
75,,,131.02,134.43,132.54,121.89,,133.75,130.41
76,,,130.64,133.15,131.4,121.65,,131.32,129.56
77,,,130.18,132.24,130.64,120.85,,130.41,128.48
78,,,129.33,131.32,129.72,119.64,,131.25,126.7
79,,,128.56,130.48,128.71,118.99,,131.48,127.32
80,,,127.94,129.79,127.94,121.09,,130.33,126.07
81,,,127.24,128.64,127.01,120.28,,129.95,125.21
82,,,126.85,127.55,125.91,119.48,,129.18,124.66
83,,,126.46,127.09,125.29,118.67,,128.79,123.32
84,,,125.84,126.15,124.5,117.7,,128.4,122.76
85,,,125.37,124.74,123.47,117.37,,127.63,121.65
86,,,125.21,124.19,123.16,115.9,,126.77,121.33
87,,,124.82,123.87,122.2,115.4,,125.76,120.2
88,,,124.42,122.68,121.41,114.74,,125.29,119.48
89,,,123.95,122.05,120.53,113.5,,124.42,118.91
90,,,123.24,121.49,120.04,113.33,,124.03,118.35
91,,,122.68,120.36,118.99,112.67,,123.4,117.53
92,,,122.76,121.73,118.35,112.08,,123.08,116.8
93,,,121.81,121.17,117.94,111.32,,122.36,115.9
94,,,121.09,121.09,116.96,110.65,,121.73,115.24
95,,,120.53,120.28,116.55,109.3,,121.25,114.25
96,,,119.16,119.8,115.57,108.53,,120.69,113.75
97,,,118.83,119.32,114.82,106.73,,119.88,113.17
98,,,118.75,119.07,114.41,105.69,,119.56,112.75
99,,,118.67,118.35,113.42,104.3,,119.4,111.49
100,,,118.51,117.61,112.75,103.43,,118.83,111.16
101,,,117.78,117.37,112.16,102.81,,118.59,110.06
102,,,117.61,116.8,111.83,104.65,,117.94,110.23
103,,,117.21,116.31,110.9,103.95,,118.02,109.21
104,,,116.72,116.06,110.48,103.34,,117.61,108.53
105,,,116.55,115.24,109.8,102.72,,116.8,108.02
106,,,116.22,115.07,109.13,102.02,,116.31,107.59
107,,,116.14,114.08,108.87,101.57,,116.14,106.99
108,,,115.24,113.83,107.5,101.13,,115.73,106.38
109,,,115.07,113.08,107.24,100.24,,115.65,106.12
110,,,114.49,112.92,106.81,99.7,,115.4,105.08
111,,,114.58,112.33,106.56,98.72,,114.82,104.21
112,,,113.75,112.25,105.61,98.54,,114.66,104.47
113,,,113.91,112,105.26,97.72,,114.25,104.04
114,,,114.08,111.16,104.47,96.81,,113.91,103.25
115,,,113.42,110.99,103.95,96.91,,114.08,102.63
116,,,113.25,110.31,103.6,96.08,,113.58,102.02
117,,,113,110.14,102.99,95.99,,113.17,101.93
118,,,113.08,112.16,102.28,96.18,,113,101.4
119,,,112.92,111.83,101.57,96.27,,112.08,101.22
120,,,111.83,110.99,100.95,96.27,,111.58,100.15
