Profile 2 FLIR AX5

,Li2,Li3,Li4,Li5,Li1
Emissivity,0.925,0.925,0.925,0.925,0.925
Distance,0,0,0,0,0
Reflected temperature,22,22,22,22,22
Start point X,217,226,240,257,199
Start point Y,253,254,253,254,252
End point X,214,222,234,252,198
End point Y,117,113,113,108,112

Index,Li2,Li3,Li4,Li5,Li1
1,306.82,308.5,310.31,306.26,309.48
2,284.62,288.88,300.62,293.25,295.12
3,255.73,258.96,273.22,268.13,262.68
4,253.56,253.82,258.35,261.56,258.09
5,255.16,256.29,259.58,261.11,259.73
6,262.33,261.92,261.67,268.63,266.12
7,282.38,280.57,267.63,275.8,279.3
8,293.49,292.82,274.91,283.7,289.36
9,292.97,292.58,276.84,282.72,284.67
10,290.66,292.54,278.96,282.63,285.93
11,289.75,291.34,279.5,282.48,286.71
12,290.13,291.05,282.04,280.72,286.13
13,288.64,289.61,284.87,280.28,284.53
14,287.39,289.7,284.82,279.59,283.31
15,286.95,288.11,283.94,278.96,282.92
16,285.4,287.14,283.16,277.97,282.43
17,284.82,287.48,282.14,276.64,280.82
18,284.53,285.84,281.7,275.8,280.28
19,283.89,285.64,282.09,276.54,279.74
20,283.16,284.53,281.6,275.11,279.3
21,282.19,283.65,281.85,275.11,278.91
22,282.33,282.43,280.52,274.76,278.17
23,278.96,281.16,280.08,273.08,277.38
24,278.27,280.23,279.25,272.73,276.54
25,278.96,280.03,278.76,273.08,275.16
26,277.97,280.72,278.02,272.23,274.27
27,277.09,279.74,278.22,270.09,274.22
28,277.48,279.15,276.59,270.34,273.03
29,275.8,279.59,275.8,270.64,273.47
30,276.2,277.82,275.7,269.89,273.03
31,275.55,278.17,275.36,269.49,272.38
32,274.22,276.94,274.22,268.48,272.18
33,275.21,276.69,274.37,269.13,271.68
34,274.32,276.84,273.77,267.83,271.38
35,273.97,276.25,272.53,267.18,270.78
36,273.08,274.71,271.68,265.52,267.98
37,271.48,273.87,269.13,263.39,264.35
38,266.02,270.78,265.92,256.45,257.94
39,257.78,262.83,261.51,247.1,248.46
40,248.77,254.02,250.91,235.28,239.31
41,237.22,241.65,238.13,222.28,228.69
42,229.35,232.52,225.66,213.76,221.22
43,223.56,226.88,218.86,207.14,214.39
44,218.35,222,214.22,202.69,209.05
45,213.3,217.34,208.88,198.01,203.69
46,208.76,212.67,203.46,192.78,198.96
47,204.28,208.53,198.96,188.26,194.23
48,200.45,204.28,194.35,184.67,190.28
49,196.64,200.69,189.61,181.04,185.66
50,193.02,196.64,184.92,177.37,181.54
51,189.91,192.84,181.17,173.58,178.7
52,186.53,190.46,177.88,170.6,175
53,183.55,187.33,175,167.65,171.9
54,180.92,184.55,172.16,165.13,168.83
55,177.18,181.67,169.23,161.78,165.73
56,174.68,178.58,166.26,159.76,162.86
57,172.35,175.45,164.13,156.75,160.16
58,169.16,172.81,161.31,154.13,157.44
59,166.59,170.01,158.74,151.83,154.76
60,164.4,167.25,156.27,149.73,152.46
61,161.52,163.6,153.85,147.74,149.87
62,158.19,160.57,151.55,145.67,147.39
63,155.03,157.23,149.02,143.22,144.3
64,150.43,153.44,146.31,140.89,140.67
65,143.87,147.88,142.86,136.31,134.66
66,132.69,138.68,136.45,129.18,125.68
67,118.35,127.16,127.86,119.4,115.32
68,108.19,116.06,117.45,111.16,111.16
69,106.64,112.58,111.58,109.3,109.8
70,108.79,112.08,110.06,108.96,109.3
71,109.47,110.82,109.3,108.44,108.96
72,109.47,110.82,109.38,107.59,108.27
73,109.04,110.57,108.53,107.5,108.53
74,109.13,110.31,108.19,107.07,107.5
75,108.44,110.23,107.42,106.73,105.61
76,108.36,109.89,106.47,106.12,102.02
77,108.27,109.55,102.72,104.65,99.34
78,108.1,109.21,99.52,103.78,100.51
79,108.1,108.7,99.08,103.78,104.04
80,107.85,108.44,102.1,103.95,106.64
81,107.85,109.21,106.04,105.61,107.33
82,107.42,108.79,106.47,106.12,107.07
83,107.93,108.44,107.16,106.38,106.64
84,107.67,108.36,106.99,106.3,106.56
85,107.67,108.53,106.99,105.95,104.74
86,107.42,107.76,106.47,106.38,99.43
87,107.42,106.9,106.81,105.87,92.85
88,107.33,106.3,106.9,106.21,88.9
89,107.16,105.87,106.99,105.87,92.48
90,107.16,105.87,106.56,106.21,99.88
91,106.64,106.99,106.64,105.95,104.74
92,106.99,107.16,106.38,106.04,106.21
93,106.99,107.16,106.64,105.95,106.12
94,106.99,106.81,106.3,105.43,106.47
95,106.64,106.73,106.3,105.78,106.47
96,106.38,106.38,104.91,105.52,106.04
97,106.21,106.12,104.82,105.52,106.12
98,105.78,106.04,104.56,105.61,106.21
99,106.3,106.21,104.91,105.08,106.21
100,106.56,106.73,105.52,105.34,105.95
101,106.47,106.3,105.78,105.17,106.38
102,106.81,106.47,105.69,105.08,106.04
103,105.95,106.12,105.17,105.17,106.21
104,106.21,106.56,105.17,105.08,105.78
105,105.87,105.78,105.52,105,105.95
106,106.21,106.04,105.43,105,105.95
107,105.95,105.95,105.26,105,106.38
108,105.87,106.04,104.65,104.82,105.87
109,105.69,105.34,104.3,105,105.61
110,105.78,105.69,104.39,105,105.26
111,105.69,105.52,104.82,104.47,105
112,105.87,105.78,105.26,104.56,104.82
113,105.78,106.12,105.34,104.56,104.65
114,105.17,105.43,105.08,104.39,104.04
115,105.17,105.43,104.3,103.51,103.16
116,104.47,105,104.04,101.31,101.04
117,103.6,104.65,102.1,98.9,99.08
118,102.63,104.65,100.51,96.91,97.45
119,102.28,104.21,99.17,94.98,96.45
120,102.46,104.91,97.9,93.88,96.36
121,103.34,106.64,97.81,92.58,95.44
122,103.51,108.27,98.08,90.23,93.6
123,102.99,109.21,97.27,87.75,92.01
124,100.77,108.53,95.54,86.3,89.56
125,98.54,106.73,94.25,85.03,88.51
126,93.88,102.99,92.11,84.45,85.23
127,86.49,96.45,89.18,83.56,80.98
128,79.67,88.32,85.62,83.17,77.84
129,74.32,81.48,82.47,83.46,75.05
130,70.93,77.43,79.57,83.07,73.69
131,69.42,74.74,78.45,82.97,72
132,69.09,73.58,77.74,83.76,71.03
133,68.55,72.31,77.84,84.45,69.53
134,67.67,71.36,78.04,86.11,68.98
